typ,symbol,nazwa
PODKLASA,15.11.Z,"Garbowanie, barwienie, wyprawa skór, w tym futerkowych"
KLASA,15.12,"Produkcja toreb bagażowych, toreb ręcznych i podobnych wyrobów kaletniczych; produkcja wyrobów rymarskich z dowolnego materiału"
PODKLASA,15.12.Z,"Produkcja toreb bagażowych, toreb ręcznych i podobnych wyrobów kaletniczych; produkcja wyrobów rymarskich z dowolnego materiału"
GRUPA,15.2,Produkcja obuwia
KLASA,15.20,Produkcja obuwia
PODKLASA,15.20.Z,Produkcja obuwia
DZIAŁ,16,"PRODUKCJA WYROBÓW Z DREWNA I KORKA, Z WYŁĄCZENIEM MEBLI; PRODUKCJA WYROBÓW ZE SŁOMY I MATERIAŁÓW UŻYWANYCH DO WYPLATANIA"
GRUPA,16.1,Produkcja wyrobów tartacznych; obróbka i wykończanie wyrobów tartacznych
KLASA,16.11,Produkcja wyrobów tartacznych
PODKLASA,16.11.Z,Produkcja wyrobów tartacznych
KLASA,16.12,Obróbka i wykończanie wyrobów tartacznych
PODKLASA,16.12.Z,Obróbka i wykończanie wyrobów tartacznych
GRUPA,16.2,"Produkcja wyrobów z drewna, korka, słomy i materiałów używanych do wyplatania"
KLASA,16.21,Produkcja arkuszy fornirowych i płyt wykonanych na bazie drewna
PODKLASA,16.21.Z,Produkcja arkuszy fornirowych i płyt wykonanych na bazie drewna
KLASA,16.22,Produkcja gotowych parkietów podłogowych
PODKLASA,16.22.Z,Produkcja gotowych parkietów podłogowych
KLASA,16.23,Produkcja pozostałych wyrobów stolarskich i ciesielskich dla budownictwa
PODKLASA,16.23.Z,Produkcja pozostałych wyrobów stolarskich i ciesielskich dla budownictwa
KLASA,16.24,Produkcja opakowań drewnianych
PODKLASA,16.24.Z,Produkcja opakowań drewnianych
KLASA,16.25,Produkcja drzwi i okien z drewna
PODKLASA,16.25.Z,Produkcja drzwi i okien z drewna
KLASA,16.26,Produkcja paliw stałych z biomasy roślinnej
PODKLASA,16.26.Z,Produkcja paliw stałych z biomasy roślinnej
KLASA,16.27,Wykończanie wyrobów drewnianych
PODKLASA,16.27.Z,Wykończanie wyrobów drewnianych
KLASA,16.28,"Produkcja pozostałych wyrobów z drewna oraz wyrobów z korka, słomy i materiałów używanych do wyplatania"
PODKLASA,16.28.Z,"Produkcja pozostałych wyrobów z drewna oraz wyrobów z korka, słomy i materiałów używanych do wyplatania"
DZIAŁ,17,PRODUKCJA PAPIERU I WYROBÓW Z PAPIERU
GRUPA,17.1,"Produkcja masy włóknistej, papieru i tektury"
KLASA,17.11,Produkcja masy włóknistej
PODKLASA,17.11.Z,Produkcja masy włóknistej
KLASA,17.12,Produkcja papieru i tektury
PODKLASA,17.12.Z,Produkcja papieru i tektury
GRUPA,17.2,Produkcja wyrobów z papieru i tektury
KLASA,17.21,"Produkcja papieru falistego, tektury falistej oraz opakowań z papieru i tektury"
PODKLASA,17.21.Z,"Produkcja papieru falistego, tektury falistej oraz opakowań z papieru i tektury"
KLASA,17.22,"Produkcja artykułów gospodarstwa domowego, toaletowych i sanitarnych"
PODKLASA,17.22.Z,"Produkcja artykułów gospodarstwa domowego, toaletowych i sanitarnych"
KLASA,17.23,Produkcja artykułów papierniczych
PODKLASA,17.23.Z,Produkcja artykułów papierniczych
KLASA,17.24,Produkcja tapet
PODKLASA,17.24.Z,Produkcja tapet
KLASA,17.25,Produkcja pozostałych wyrobów z papieru i tektury
PODKLASA,17.25.Z,Produkcja pozostałych wyrobów z papieru i tektury
DZIAŁ,18,POLIGRAFIA I REPRODUKCJA ZAPISANYCH NOŚNIKÓW INFORMACJI
GRUPA,18.1,Drukowanie i działalność usługowa związana z poligrafią
KLASA,18.11,Drukowanie gazet
PODKLASA,18.11.Z,Drukowanie gazet
KLASA,18.12,Pozostałe drukowanie
PODKLASA,18.12.Z,Pozostałe drukowanie
KLASA,18.13,Działalność usługowa związana z przygotowywaniem do druku
PODKLASA,18.13.Z,Działalność usługowa związana z przygotowywaniem do druku
KLASA,18.14,Introligatorstwo i podobne usługi
PODKLASA,18.14.Z,Introligatorstwo i podobne usługi
GRUPA,18.2,Reprodukcja zapisanych nośników informacji
KLASA,18.20,Reprodukcja zapisanych nośników informacji
PODKLASA,18.20.Z,Reprodukcja zapisanych nośników informacji
DZIAŁ,19,WYTWARZANIE I PRZETWARZANIE KOKSU I PRODUKTÓW RAFINACJI ROPY NAFTOWEJ
GRUPA,19.1,Wytwarzanie i przetwarzanie koksu
KLASA,19.10,Wytwarzanie i przetwarzanie koksu
PODKLASA,19.10.Z,Wytwarzanie i przetwarzanie koksu
