typ,symbol,nazwa
PODKLASA,77.32.Z,Wynajem i dzierżawa maszyn i urządzeń budowlanych
KLASA,77.33,Wynajem i dzierżawa maszyn i urządzeń biurowych oraz komputerów
PODKLASA,77.33.Z,Wynajem i dzierżawa maszyn i urządzeń biurowych oraz komputerów
KLASA,77.34,Wynajem i dzierżawa środków transportu wodnego
PODKLASA,77.34.Z,Wynajem i dzierżawa środków transportu wodnego
KLASA,77.35,Wynajem i dzierżawa środków transportu lotniczego
PODKLASA,77.35.Z,Wynajem i dzierżawa środków transportu lotniczego
KLASA,77.39,"Wynajem i dzierżawa pozostałych maszyn, urządzeń oraz dóbr materialnych, gdzie indziej niesklasyfikowane"
PODKLASA,77.39.Z,"Wynajem i dzierżawa pozostałych maszyn, urządzeń oraz dóbr materialnych, gdzie indziej niesklasyfikowane"
GRUPA,77.4,"Dzierżawa własności intelektualnej i podobnych produktów, z wyłączeniem prac chronionych prawem autorskim"
KLASA,77.40,"Dzierżawa własności intelektualnej i podobnych produktów, z wyłączeniem prac chronionych prawem autorskim"
PODKLASA,77.40.A,Działalność związana z dzierżawą i rejestracją nazw domen internetowych
PODKLASA,77.40.B,"Pozostała dzierżawa własności intelektualnej i podobnych produktów, z wyłączeniem prac chronionych prawem autorskim"
GRUPA,77.5,Pośrednictwo w wynajmie i dzierżawie dóbr materialnych oraz niefinansowych wartości niematerialnych i prawnych
KLASA,77.51,"Pośrednictwo w wynajmie i dzierżawie samochodów osobowych, samochodów kempingowych i przyczep"
PODKLASA,77.51.Z,"Pośrednictwo w wynajmie i dzierżawie samochodów osobowych, samochodów kempingowych i przyczep"
KLASA,77.52,Pośrednictwo w wynajmie i dzierżawie pozostałych dóbr materialnych oraz niefinansowych wartości niematerialnych i prawnych
PODKLASA,77.52.Z,Pośrednictwo w wynajmie i dzierżawie pozostałych dóbr materialnych oraz niefinansowych wartości niematerialnych i prawnych
DZIAŁ,78,DZIAŁALNOŚĆ ZWIĄZANA Z ZATRUDNIENIEM
GRUPA,78.1,Działalność związana z wyszukiwaniem miejsc pracy i pozyskiwaniem pracowników
KLASA,78.10,Działalność związana z wyszukiwaniem miejsc pracy i pozyskiwaniem pracowników
PODKLASA,78.10.Z,Działalność związana z wyszukiwaniem miejsc pracy i pozyskiwaniem pracowników
GRUPA,78.2,Działalność agencji pracy tymczasowej i pozostała działalność związana z udostępnianiem pracowników
KLASA,78.20,Działalność agencji pracy tymczasowej i pozostała działalność związana z udostępnianiem pracowników
PODKLASA,78.20.Z,Działalność agencji pracy tymczasowej i pozostała działalność związana z udostępnianiem pracowników
DZIAŁ,79,"DZIAŁALNOŚĆ ORGANIZATORÓW TURYSTYKI, AGENTÓW TURYSTYCZNYCH ORAZ POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE REZERWACJI I DZIAŁALNOŚCI Z NIĄ ZWIĄZANE"
GRUPA,79.1,Działalność agentów turystycznych oraz organizatorów turystyki
KLASA,79.11,Działalność agentów turystycznych
PODKLASA,79.11.Z,Działalność agentów turystycznych
KLASA,79.12,Działalność organizatorów turystyki
PODKLASA,79.12.Z,Działalność organizatorów turystyki
GRUPA,79.9,Pozostała działalność usługowa w zakresie rezerwacji oraz działalności z nią związane
KLASA,79.90,Pozostała działalność usługowa w zakresie rezerwacji oraz działalności z nią związane
PODKLASA,79.90.Z,Pozostała działalność usługowa w zakresie rezerwacji oraz działalności z nią związane
DZIAŁ,80,DZIAŁALNOŚĆ DETEKTYWISTYCZNA I OCHRONIARSKA
GRUPA,80.0,Działalność detektywistyczna i ochroniarska
KLASA,80.01,Działalność detektywistyczna i działalność ochroniarska w zakresie ochrony osobistej
PODKLASA,80.01.Z,Działalność detektywistyczna i działalność ochroniarska w zakresie ochrony osobistej
KLASA,80.09,"Działalność ochroniarska, gdzie indziej niesklasyfikowana"
PODKLASA,80.09.Z,"Działalność ochroniarska, gdzie indziej niesklasyfikowana"
DZIAŁ,81,DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z UTRZYMANIEM PORZĄDKU W BUDYNKACH I ZAGOSPODAROWANIEM TERENÓW ZIELENI
GRUPA,81.1,Działalność pomocnicza związana z utrzymaniem porządku w budynkach
KLASA,81.10,Działalność pomocnicza związana z utrzymaniem porządku w budynkach
PODKLASA,81.10.Z,Działalność pomocnicza związana z utrzymaniem porządku w budynkach
GRUPA,81.2,Sprzątanie obiektów
KLASA,81.21,Niespecjalistyczne sprzątanie budynków
PODKLASA,81.21.Z,Niespecjalistyczne sprzątanie budynków
KLASA,81.22,Pozostałe sprzątanie budynków i obiektów przemysłowych
PODKLASA,81.22.A,"Czyszczenie kominów i palenisk, pieców, przewodów wentylacyjnych "
PODKLASA,81.22.B,"Pozostałe sprzątanie budynków i obiektów przemysłowych, gdzie indziej niesklasyfikowane"
KLASA,81.23,Pozostałe sprzątanie
PODKLASA,81.23.A,"Działalność usługowa związana z dezynfekcją, dezynsekcją i deratyzacją"
PODKLASA,81.23.B,"Pozostała działalność związana ze sprzątaniem, gdzie indziej niesklasyfikowana"
GRUPA,81.3,Działalność usługowa związana z zagospodarowaniem terenów zieleni
KLASA,81.30,Działalność usługowa związana z zagospodarowaniem terenów zieleni
PODKLASA,81.30.Z,Działalność usługowa związana z zagospodarowaniem terenów zieleni
DZIAŁ,82,DZIAŁALNOŚĆ ZWIĄZANA Z ADMINISTRACYJNĄ OBSŁUGĄ BIURA I POZOSTAŁA DZIAŁALNOŚĆ WSPOMAGAJĄCA PROWADZENIE DZIAŁALNOŚCI GOSPODARCZEJ
GRUPA,82.1,"Działalność związana z administracyjną obsługą biura, włączając działalność wspomagającą"
KLASA,82.10,"Działalność związana z administracyjną obsługą biura, włączając działalność wspomagającą"
PODKLASA,82.10.Z,"Działalność związana z administracyjną obsługą biura, włączając działalność wspomagającą"
GRUPA,82.2,Działalność centrów telefonicznych (call center)
KLASA,82.20,Działalność centrów telefonicznych (call center)
PODKLASA,82.20.Z,Działalność centrów telefonicznych (call center)
GRUPA,82.3,"Działalność związana z organizacją targów, wystaw i kongresów"
KLASA,82.30,"Działalność związana z organizacją targów, wystaw i kongresów"
PODKLASA,82.30.Z,"Działalność związana z organizacją targów, wystaw i kongresów"
GRUPA,82.4,"Pośrednictwo w zakresie działalności wspomagającej prowadzenie działalności gospodarczej, gdzie indziej niesklasyfikowane"
KLASA,82.40,"Pośrednictwo w zakresie działalności wspomagającej prowadzenie działalności gospodarczej, gdzie indziej niesklasyfikowane"
PODKLASA,82.40.Z,"Pośrednictwo w zakresie działalności wspomagającej prowadzenie działalności gospodarczej, gdzie indziej niesklasyfikowane"
GRUPA,82.9,"Działalność komercyjna, gdzie indziej niesklasyfikowana"
KLASA,82.91,Działalność świadczona przez agencje inkasa i biura kredytowe
PODKLASA,82.91.Z,Działalność świadczona przez agencje inkasa i biura kredytowe
KLASA,82.92,Działalność związana z pakowaniem
PODKLASA,82.92.Z,Działalność związana z pakowaniem
KLASA,82.99,"Pozostała działalność wspomagająca prowadzenie działalności gospodarczej, gdzie indziej niesklasyfikowana"
PODKLASA,82.99.A,Finansowanie społecznościowe dla przedsięwzięć gospodarczych
PODKLASA,82.99.B,"Działalność wspomagająca prowadzenie działalności gospodarczej, gdzie indziej niesklasyfikowana"
SEKCJA,P,ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE
DZIAŁ,84,ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE
GRUPA,84.1,"Administracja publiczna oraz polityka gospodarcza, społeczna i w zakresie ochrony środowiska"
KLASA,84.11,Kierowanie podstawowymi rodzajami działalności publicznej
PODKLASA,84.11.Z,Kierowanie podstawowymi rodzajami działalności publicznej
KLASA,84.12,"Kierowanie działalnością usługową w zakresie ochrony zdrowia, edukacji, kultury oraz pozostałych usług społecznych"
PODKLASA,84.12.Z,"Kierowanie działalnością usługową w zakresie ochrony zdrowia, edukacji, kultury oraz pozostałych usług społecznych"
KLASA,84.13,Kierowanie w zakresie efektywności gospodarowania
PODKLASA,84.13.Z,Kierowanie w zakresie efektywności gospodarowania
GRUPA,84.2,Działalność usługowa na rzecz całego społeczeństwa
KLASA,84.21,Sprawy zagraniczne
PODKLASA,84.21.Z,Sprawy zagraniczne
KLASA,84.22,Obrona narodowa
PODKLASA,84.22.Z,Obrona narodowa
KLASA,84.23,Wymiar sprawiedliwości
PODKLASA,84.23.Z,Wymiar sprawiedliwości
KLASA,84.24,"Bezpieczeństwo państwa, porządek i bezpieczeństwo publiczne"
PODKLASA,84.24.Z,"Bezpieczeństwo państwa, porządek i bezpieczeństwo publiczne"
KLASA,84.25,Ochrona przeciwpożarowa
PODKLASA,84.25.Z,Ochrona przeciwpożarowa
GRUPA,84.3,Obowiązkowe ubezpieczenia społeczne
KLASA,84.30,Obowiązkowe ubezpieczenia społeczne
PODKLASA,84.30.Z,Obowiązkowe ubezpieczenia społeczne
SEKCJA,Q,EDUKACJA
DZIAŁ,85,EDUKACJA
GRUPA,85.1,Placówki wychowania przedszkolnego
KLASA,85.10,Placówki wychowania przedszkolnego
PODKLASA,85.10.Z,Placówki wychowania przedszkolnego
GRUPA,85.2,Szkoły podstawowe
KLASA,85.20,Szkoły podstawowe
PODKLASA,85.20.Z,Szkoły podstawowe
GRUPA,85.3,Szkoły ponadpodstawowe i placówki kształcenia policealnego
KLASA,85.31,Szkoły średnie ogólnokształcące
PODKLASA,85.31.Z,Szkoły średnie ogólnokształcące
KLASA,85.32,"Szkoły prowadzące kształcenie zawodowe, z wyłączeniem placówek kształcenia policealnego"
PODKLASA,85.32.A,Technika
PODKLASA,85.32.B,Branżowe szkoły I stopnia
PODKLASA,85.32.C,Branżowe szkoły II stopnia
PODKLASA,85.32.D,Szkoły specjalne przysposabiające do pracy
KLASA,85.33,Placówki kształcenia policealnego
PODKLASA,85.33.A,Szkoły policealne
PODKLASA,85.33.B,Kolegia pracowników służb społecznych
GRUPA,85.4,Szkoły wyższe
KLASA,85.40,Szkoły wyższe
PODKLASA,85.40.Z,Szkoły wyższe
GRUPA,85.5,Pozostałe formy edukacji
KLASA,85.51,Pozostałe formy edukacji sportowej oraz zajęć sportowych i rekreacyjnych
PODKLASA,85.51.Z,Pozostałe formy edukacji sportowej oraz zajęć sportowych i rekreacyjnych
KLASA,85.52,Pozostałe formy edukacji artystycznej
PODKLASA,85.52.Z,Pozostałe formy edukacji artystycznej
KLASA,85.53,Pozostałe formy edukacji z zakresu nauki jazdy i pilotażu
PODKLASA,85.53.Z,Pozostałe formy edukacji z zakresu nauki jazdy i pilotażu
KLASA,85.59,"Pozostałe formy edukacji, gdzie indziej niesklasyfikowane"
PODKLASA,85.59.A,Nauka języków obcych
PODKLASA,85.59.B,"Kursy i szkolenia związane ze zdobywaniem wiedzy, umiejętności i kwalifikacji zawodowych w formach pozaszkolnych"
PODKLASA,85.59.C,Placówki doskonalenia nauczycieli
PODKLASA,85.59.D,"Pozostałe pozaszkolne formy edukacji, gdzie indziej niesklasyfikowane"
GRUPA,85.6,Działalność wspomagająca edukację
KLASA,85.61,Pośrednictwo w zakresie prowadzenia kursów i korepetycji
PODKLASA,85.61.Z,Pośrednictwo w zakresie prowadzenia kursów i korepetycji
KLASA,85.69,"Działalność wspomagająca edukację, gdzie indziej niesklasyfikowana"
PODKLASA,85.69.Z,"Działalność wspomagająca edukację, gdzie indziej niesklasyfikowana"
SEKCJA,R,OPIEKA ZDROWOTNA I POMOC SPOŁECZNA
DZIAŁ,86,OPIEKA ZDROWOTNA
GRUPA,86.1,Działalność szpitali
KLASA,86.10,Działalność szpitali
PODKLASA,86.10.Z,Działalność szpitali
GRUPA,86.2,Praktyka lekarska i dentystyczna
KLASA,86.21,Praktyka lekarska ogólna
PODKLASA,86.21.Z,Praktyka lekarska ogólna
KLASA,86.22,Praktyka lekarska specjalistyczna
PODKLASA,86.22.Z,Praktyka lekarska specjalistyczna
KLASA,86.23,Praktyka dentystyczna
PODKLASA,86.23.Z,Praktyka dentystyczna
GRUPA,86.9,Pozostała działalność w zakresie opieki zdrowotnej
KLASA,86.91,Działalność w zakresie diagnostyki obrazowej i działalność laboratoriów medycznych
PODKLASA,86.91.A,Działalność w zakresie diagnostyki obrazowej
PODKLASA,86.91.B,Działalność samodzielnych laboratoriów medycznych
KLASA,86.92,Transport pacjentów karetką
PODKLASA,86.92.Z,Transport pacjentów karetką
KLASA,86.93,"Działalność psychologiczna i psychoterapeutyczna, z wyłączeniem lekarskiej"
PODKLASA,86.93.Z,"Działalność psychologiczna i psychoterapeutyczna, z wyłączeniem lekarskiej"
KLASA,86.94,Działalność pielęgniarska i położnicza
PODKLASA,86.94.Z,Działalność pielęgniarska i położnicza
KLASA,86.95,Działalność w zakresie fizjoterapii
PODKLASA,86.95.Z,Działalność w zakresie fizjoterapii
KLASA,86.96,"Działalność w zakresie medycyny tradycyjnej, uzupełniającej i alternatywnej"
PODKLASA,86.96.Z,"Działalność w zakresie medycyny tradycyjnej, uzupełniającej i alternatywnej"
KLASA,86.97,"Pośrednictwo związane z działalnością lekarską, dentystyczną i pozostałą działalnością w zakresie opieki zdrowotnej"
PODKLASA,86.97.Z,"Pośrednictwo związane z działalnością lekarską, dentystyczną i pozostałą działalnością w zakresie opieki zdrowotnej"
KLASA,86.99,"Pozostała działalność w zakresie opieki zdrowotnej, gdzie indziej niesklasyfikowana"
PODKLASA,86.99.A,Opieka farmaceutyczna
PODKLASA,86.99.B,Działalność dietetyczna
PODKLASA,86.99.C,Działalność logopedyczna
PODKLASA,86.99.D,Działalność w zakresie pozostałej opieki zdrowotnej
DZIAŁ,87,POMOC SPOŁECZNA Z ZAKWATEROWANIEM
GRUPA,87.1,Pomoc społeczna z zakwaterowaniem zapewniająca opiekę pielęgniarską
KLASA,87.10,Pomoc społeczna z zakwaterowaniem zapewniająca opiekę pielęgniarską
PODKLASA,87.10.Z,Pomoc społeczna z zakwaterowaniem zapewniająca opiekę pielęgniarską
GRUPA,87.2,Pomoc społeczna z zakwaterowaniem dla osób z zaburzeniami psychicznymi lub uzależnieniami
KLASA,87.20,Pomoc społeczna z zakwaterowaniem dla osób z zaburzeniami psychicznymi lub uzależnieniami
PODKLASA,87.20.Z,Pomoc społeczna z zakwaterowaniem dla osób z zaburzeniami psychicznymi lub uzależnieniami
GRUPA,87.3,Pomoc społeczna z zakwaterowaniem dla osób starszych lub osób z niepełnosprawnościami ruchowymi
KLASA,87.30,Pomoc społeczna z zakwaterowaniem dla osób starszych lub osób z niepełnosprawnościami ruchowymi
PODKLASA,87.30.Z,Pomoc społeczna z zakwaterowaniem dla osób starszych lub osób z niepełnosprawnościami ruchowymi
GRUPA,87.9,Pozostała pomoc społeczna z zakwaterowaniem
KLASA,87.91,Pośrednictwo w zakresie pomocy społecznej z zakwaterowaniem
PODKLASA,87.91.Z,Pośrednictwo w zakresie pomocy społecznej z zakwaterowaniem
KLASA,87.99,"Pozostała pomoc społeczna z zakwaterowaniem, gdzie indziej niesklasyfikowana"
PODKLASA,87.99.Z,"Pozostała pomoc społeczna z zakwaterowaniem, gdzie indziej niesklasyfikowana"
DZIAŁ,88,POMOC SPOŁECZNA BEZ ZAKWATEROWANIA
GRUPA,88.1,Pomoc społeczna bez zakwaterowania dla osób starszych lub osób z niepełnosprawnościami
KLASA,88.10,Pomoc społeczna bez zakwaterowania dla osób starszych lub osób z niepełnosprawnościami
PODKLASA,88.10.Z,Pomoc społeczna bez zakwaterowania dla osób starszych lub osób z niepełnosprawnościami
GRUPA,88.9,Pozostała pomoc społeczna bez zakwaterowania
KLASA,88.91,Opieka dzienna nad dziećmi
PODKLASA,88.91.Z,Opieka dzienna nad dziećmi
KLASA,88.99,"Pozostała pomoc społeczna bez zakwaterowania, gdzie indziej niesklasyfikowana"
PODKLASA,88.99.Z,"Pozostała pomoc społeczna bez zakwaterowania, gdzie indziej niesklasyfikowana"
SEKCJA,S,"DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ"
DZIAŁ,90,DZIAŁALNOŚĆ TWÓRCZA I DZIAŁALNOŚĆ ZWIĄZANA Z WYSTAWIANIEM PRZEDSTAWIEŃ ARTYSTYCZNYCH
GRUPA,90.1,Działalność twórcza
KLASA,90.11,Działalność literacka i działalność związana z komponowaniem muzyki
PODKLASA,90.11.Z,Działalność literacka i działalność związana z komponowaniem muzyki
KLASA,90.12,Działalność twórcza w zakresie sztuk wizualnych
PODKLASA,90.12.Z,Działalność twórcza w zakresie sztuk wizualnych
KLASA,90.13,Pozostała działalność twórcza
PODKLASA,90.13.Z,Pozostała działalność twórcza
GRUPA,90.2,Działalność związana z wystawianiem przedstawień artystycznych
KLASA,90.20,Działalność związana z wystawianiem przedstawień artystycznych
PODKLASA,90.20.A,"Działalność artystyczna filharmonii, orkiestr i chórów"
PODKLASA,90.20.B,Działalność teatralna
PODKLASA,90.20.C,Pozostała działalność związana z wystawianiem przedstawień artystycznych
GRUPA,90.3,Działalność wspomagająca działalność twórczą i związaną z wystawianiem przedstawień artystycznych
KLASA,90.31,Działalność obiektów kulturalnych
PODKLASA,90.31.A,"Działalność centrów kultury, domów i ośrodków kultury, klubów i świetlic"
PODKLASA,90.31.B,Działalność pozostałych obiektów kulturalnych
KLASA,90.39,Pozostała działalność wspomagająca działalność twórczą i działalność związaną z wystawianiem przedstawień artystycznych
PODKLASA,90.39.Z,Pozostała działalność wspomagająca działalność twórczą i działalność związaną z wystawianiem przedstawień artystycznych
DZIAŁ,91,"DZIAŁALNOŚĆ BIBLIOTEK, ARCHIWÓW, MUZEÓW ORAZ POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ"
GRUPA,91.1,Działalność bibliotek i archiwów
KLASA,91.11,Działalność bibliotek
PODKLASA,91.11.Z,Działalność bibliotek
KLASA,91.12,Działalność archiwów
PODKLASA,91.12.Z,Działalność archiwów
GRUPA,91.2,"Działalność muzeów oraz działalność związana z opieką nad zbiorami muzealnymi, miejscami historycznymi i pomnikami"
KLASA,91.21,Działalność muzeów oraz działalność związana z opieką nad zbiorami muzealnymi
PODKLASA,91.21.A,Działalność muzeów
PODKLASA,91.21.B,Działalność galerii sztuki 
PODKLASA,91.21.C,Działalność pozostałych podmiotów prezentujących kolekcje dzieł sztuki 
KLASA,91.22,Działalność związana z miejscami historycznymi i pomnikami
PODKLASA,91.22.Z,Działalność związana z miejscami historycznymi i pomnikami
GRUPA,91.3,Działalność w zakresie konserwacji i renowacji oraz pozostała działalność wspomagająca na rzecz dziedzictwa kulturowego
KLASA,91.30,Działalność w zakresie konserwacji i renowacji oraz pozostała działalność wspomagająca na rzecz dziedzictwa kulturowego
PODKLASA,91.30.Z,Działalność w zakresie konserwacji i renowacji oraz pozostała działalność wspomagająca na rzecz dziedzictwa kulturowego
GRUPA,91.4,Działalność ogrodów botanicznych i zoologicznych oraz obszarów i obiektów ochrony przyrody
KLASA,91.41,Działalność ogrodów botanicznych i zoologicznych
PODKLASA,91.41.A,Działalność ogrodów botanicznych
PODKLASA,91.41.B,Działalność ogrodów zoologicznych
KLASA,91.42,Działalność obszarów i obiektów ochrony przyrody
PODKLASA,91.42.Z,Działalność obszarów i obiektów ochrony przyrody
DZIAŁ,92,DZIAŁALNOŚĆ ZWIĄZANA Z GRAMI HAZARDOWYMI
GRUPA,92.0,Działalność związana z grami hazardowymi
KLASA,92.00,Działalność związana z grami hazardowymi
PODKLASA,92.00.Z,Działalność związana z grami hazardowymi
DZIAŁ,93,"DZIAŁALNOŚĆ SPORTOWA, ROZRYWKOWA I REKREACYJNA"
GRUPA,93.1,Działalność związana ze sportem
KLASA,93.11,Działalność obiektów sportowych
PODKLASA,93.11.Z,Działalność obiektów sportowych
KLASA,93.12,Działalność klubów sportowych
PODKLASA,93.12.Z,Działalność klubów sportowych
KLASA,93.13,Działalność klubów fitness
PODKLASA,93.13.Z,Działalność klubów fitness
KLASA,93.19,"Działalność sportowa, gdzie indziej niesklasyfikowana"
PODKLASA,93.19.Z,"Działalność sportowa, gdzie indziej niesklasyfikowana"
GRUPA,93.2,Działalność rozrywkowa i rekreacyjna
KLASA,93.21,Działalność wesołych miasteczek i parków rozrywki
PODKLASA,93.21.Z,Działalność wesołych miasteczek i parków rozrywki
KLASA,93.29,"Działalność rozrywkowa i rekreacyjna, gdzie indziej niesklasyfikowana"
PODKLASA,93.29.A,"Działalność pokojów zagadek, domów strachu, miejsc do tańczenia i w zakresie innych form rozrywki lub rekreacji organizowanych w pomieszczeniach lub w innych miejscach o zamkniętej przestrzeni"
PODKLASA,93.29.B,"Pozostała działalność rozrywkowa i rekreacyjna, gdzie indziej niesklasyfikowana"
SEKCJA,T,POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA
DZIAŁ,94,DZIAŁALNOŚĆ ORGANIZACJI CZŁONKOWSKICH
GRUPA,94.1,"Działalność organizacji komercyjnych, pracodawców oraz organizacji profesjonalnych"
KLASA,94.11,Działalność organizacji komercyjnych i pracodawców
PODKLASA,94.11.Z,Działalność organizacji komercyjnych i pracodawców
KLASA,94.12,Działalność członkowskich organizacji zawodowych
PODKLASA,94.12.Z,Działalność członkowskich organizacji zawodowych
GRUPA,94.2,Działalność związków zawodowych
KLASA,94.20,Działalność związków zawodowych
PODKLASA,94.20.Z,Działalność związków zawodowych
GRUPA,94.9,Działalność pozostałych organizacji członkowskich
KLASA,94.91,Działalność organizacji religijnych
PODKLASA,94.91.Z,Działalność organizacji religijnych
KLASA,94.92,Działalność organizacji politycznych
PODKLASA,94.92.Z,Działalność organizacji politycznych
KLASA,94.99,"Działalność pozostałych organizacji członkowskich, gdzie indziej niesklasyfikowana"
PODKLASA,94.99.Z,"Działalność pozostałych organizacji członkowskich, gdzie indziej niesklasyfikowana"
DZIAŁ,95,"NAPRAWA I KONSERWACJA KOMPUTERÓW, ARTYKUŁÓW UŻYTKU OSOBISTEGO I DOMOWEGO ORAZ POJAZDÓW SILNIKOWYCH, W TYM MOTOCYKLI"
GRUPA,95.1,Naprawa i konserwacja komputerów i sprzętu (tele)komunikacyjnego
KLASA,95.10,Naprawa i konserwacja komputerów i sprzętu (tele)komunikacyjnego
PODKLASA,95.10.Z,Naprawa i konserwacja komputerów i sprzętu (tele)komunikacyjnego
GRUPA,95.2,Naprawa i konserwacja artykułów użytku osobistego i domowego
KLASA,95.21,Naprawa i konserwacja elektronicznego sprzętu powszechnego użytku
PODKLASA,95.21.Z,Naprawa i konserwacja elektronicznego sprzętu powszechnego użytku
KLASA,95.22,Naprawa i konserwacja urządzeń gospodarstwa domowego oraz sprzętu do użytku domowego i ogrodniczego
PODKLASA,95.22.Z,Naprawa i konserwacja urządzeń gospodarstwa domowego oraz sprzętu do użytku domowego i ogrodniczego
KLASA,95.23,Naprawa i konserwacja obuwia i wyrobów skórzanych
PODKLASA,95.23.Z,Naprawa i konserwacja obuwia i wyrobów skórzanych
KLASA,95.24,Naprawa i konserwacja mebli i wyposażenia domowego
PODKLASA,95.24.Z,Naprawa i konserwacja mebli i wyposażenia domowego
KLASA,95.25,"Naprawa i konserwacja zegarów, zegarków oraz biżuterii"
PODKLASA,95.25.Z,"Naprawa i konserwacja zegarów, zegarków oraz biżuterii"
KLASA,95.29,"Naprawa i konserwacja artykułów użytku osobistego i domowego, gdzie indziej niesklasyfikowana"
PODKLASA,95.29.Z,"Naprawa i konserwacja artykułów użytku osobistego i domowego, gdzie indziej niesklasyfikowana"
GRUPA,95.3,"Naprawa i konserwacja pojazdów silnikowych, w tym motocykli"
KLASA,95.31,"Naprawa i konserwacja pojazdów silnikowych, z wyłączeniem motocykli"
PODKLASA,95.31.A,"Naprawa mechaniczna i serwisowa pojazdów silnikowych, z wyłączeniem motocykli "
PODKLASA,95.31.B,"Naprawa blacharsko-lakiernicza oraz konserwacja pojazdów silnikowych, z wyłączeniem motocykli "
PODKLASA,95.31.C,"Działalność usługowa detailingu pojazdów silnikowych, z wyłączeniem motocykli"
KLASA,95.32,Naprawa i konserwacja motocykli
PODKLASA,95.32.Z,Naprawa i konserwacja motocykli
GRUPA,95.4,"Pośrednictwo w naprawie i konserwacji komputerów, artykułów użytku osobistego i domowego oraz pojazdów silnikowych, w tym motocykli"
KLASA,95.40,"Pośrednictwo w naprawie i konserwacji komputerów, artykułów użytku osobistego i domowego oraz pojazdów silnikowych, w tym motocykli"
PODKLASA,95.40.Z,"Pośrednictwo w naprawie i konserwacji komputerów, artykułów użytku osobistego i domowego oraz pojazdów silnikowych, w tym motocykli"
DZIAŁ,96,DZIAŁALNOŚĆ USŁUGOWA INDYWIDUALNA
GRUPA,96.1,Pranie i czyszczenie wyrobów tekstylnych i futrzarskich
KLASA,96.10,Pranie i czyszczenie wyrobów tekstylnych i futrzarskich
PODKLASA,96.10.Z,Pranie i czyszczenie wyrobów tekstylnych i futrzarskich
GRUPA,96.2,"Działalność w zakresie usług fryzjerskich, pielęgnacji urody, spa i podobnych"
KLASA,96.21,Działalność fryzjerska
PODKLASA,96.21.Z,Działalność fryzjerska
KLASA,96.22,Działalność w zakresie pielęgnacji urody i pozostała działalność kosmetyczna
PODKLASA,96.22.Z,Działalność w zakresie pielęgnacji urody i pozostała działalność kosmetyczna
KLASA,96.23,"Działalność spa, saun i łaźni parowych"
PODKLASA,96.23.Z,"Działalność spa, saun i łaźni parowych"
GRUPA,96.3,Pogrzeby i działalność pokrewna
KLASA,96.30,Pogrzeby i działalność pokrewna
PODKLASA,96.30.Z,Pogrzeby i działalność pokrewna
GRUPA,96.4,Pośrednictwo w zakresie usług indywidualnych
KLASA,96.40,Pośrednictwo w zakresie usług indywidualnych
PODKLASA,96.40.Z,Pośrednictwo w zakresie usług indywidualnych
GRUPA,96.9,Pozostała indywidualna działalność usługowa
KLASA,96.91,Działalność usługowa na rzecz osób w miejscu zamieszkania
PODKLASA,96.91.Z,Działalność usługowa na rzecz osób w miejscu zamieszkania
KLASA,96.99,"Pozostała działalność usługowa, gdzie indziej niesklasyfikowana"
PODKLASA,96.99.Z,"Pozostała działalność usługowa, gdzie indziej niesklasyfikowana"
SEKCJA,U,GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW ORAZ GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY
DZIAŁ,97,GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW
GRUPA,97.0,Gospodarstwa domowe zatrudniające pracowników
KLASA,97.00,Gospodarstwa domowe zatrudniające pracowników
PODKLASA,97.00.Z,Gospodarstwa domowe zatrudniające pracowników
DZIAŁ,98,GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY
GRUPA,98.1,Gospodarstwa domowe produkujące wyroby na własne potrzeby
KLASA,98.10,Gospodarstwa domowe produkujące wyroby na własne potrzeby
PODKLASA,98.10.Z,Gospodarstwa domowe produkujące wyroby na własne potrzeby
GRUPA,98.2,Gospodarstwa domowe świadczące usługi na własne potrzeby
KLASA,98.20,Gospodarstwa domowe świadczące usługi na własne potrzeby
PODKLASA,98.20.Z,Gospodarstwa domowe świadczące usługi na własne potrzeby
SEKCJA,V,ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE
DZIAŁ,99,ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE
GRUPA,99.0,Organizacje i zespoły eksterytorialne
KLASA,99.00,Organizacje i zespoły eksterytorialne
PODKLASA,99.00.Z,Organizacje i zespoły eksterytorialne
